Input test: topspin_14_4/topspin_14_4.d=015
Id       Instance                                        Time-In-Secs   Generated Nodes         Distance
1        11 9 0 6 7 8 2 10 5 1 3 4 12 13         0.000541        144                     10
2        4 5 2 10 1 11 0 3 8 7 9 12 6 13         0.005646        1427                    12
3        3 7 8 6 9 0 4 11 12 5 2 1 10 13         0.036227        6084                    12
4        4 10 5 11 3 6 7 8 2 0 12 1 9 13         0.022769        2145                    11
5        8 5 10 0 6 2 1 4 12 11 9 7 3 13         0.100825        12438                   12
6        1 11 7 3 2 9 5 6 12 8 0 4 10 13         0.000412        103                     10
7        2 1 0 7 4 9 8 3 10 12 11 5 6 13         0.001862        561                     10
8        1 9 8 3 12 4 5 6 0 7 2 10 11 13         0.001216        311                     10
9        11 7 8 9 2 6 10 5 12 3 0 4 1 13         0.024209        5112                    12
10       6 0 7 9 5 12 2 3 1 8 11 10 4 13         0.015772        2244                    12
